episode,reward,alpha,ent_ref,ent_ep,argmax_ref,p0,p1,p2,p3,p4,q0,q1,q2,q3,q4,z_norm,loss_actor,loss_critic
63,-144.3894366197183,0.18207930028438568,0.0447549894452095,0.07493813335895538,1,3.646481127361767e-05,0.9931733012199402,4.5440563667398237e-07,0.0015733883483335376,0.0052163549698889256,-111.3187484741211,-107.87305450439453,-109.8553237915039,-109.04273223876953,-109.25627136230469,1.95596182346344,138.37855868869357,35.54327975379096
64,-448.8090909090909,0.18355628848075867,0.012812666594982147,0.023257430642843246,1,8.546890967409126e-06,0.9984257221221924,8.62353317643283e-08,0.0005665884236805141,0.0009991575498133898,-115.53429412841797,-110.8492431640625,-113.38243865966797,-112.76639556884766,-113.27886962890625,2.1011958574426584,145.21967683015046,39.90678070209645
65,-154.0,0.18410362303256989,0.008858293294906616,0.01828542724251747,1,5.5013547353155445e-06,0.998967170715332,5.2155368024386917e-08,0.00040807187906466424,0.0006191743304952979,-116.87435913085938,-111.71893310546875,-114.66896057128906,-113.94983673095703,-114.59844970703125,1.9457072257995605,148.3330535888672,52.10653572082519
66,-167.3181818181818,0.18459512293338776,0.006615613587200642,0.01783744990825653,1,3.87298814530368e-06,0.9992581009864807,3.4954776850781855e-08,0.0003121239133179188,0.0004259186680428684,-118.1878890991211,-112.52686309814453,-115.80323791503906,-115.0960922241211,-115.77949523925781,1.8341624975204467,150.2101762559679,35.22754160563151
67,-161.87045454545455,0.18497653305530548,0.005429671611636877,0.013445893302559853,1,3.0519095162162557e-06,0.9994062185287476,2.6653978579815885e-08,0.0002594213583506644,0.00033134108525700867,-119.26191711425781,-113.21192932128906,-116.67252349853516,-115.98106384277344,-116.62919616699219,2.055332326889038,149.6058393205915,46.47653988429478
68,-159.87857142857143,0.18551990389823914,0.004242048133164644,0.008006521500647068,1,2.26362544708536e-06,0.9995498061180115,1.897680412810132e-08,0.00020465506531763822,0.0002432047767797485,-120.74006652832031,-114.35591125488281,-117.89750671386719,-117.31305694580078,-117.94600677490234,2.235126316547394,150.2751663208008,31.245444965362548
69,-251.1659090909091,0.18654724955558777,0.002938395831733942,0.0052370899356901646,1,1.450579361517157e-06,0.999701201915741,1.1454460491222562e-08,0.00014264826313592494,0.00015463042655028403,-122.8179931640625,-115.99691772460938,-119.48743438720703,-119.32575225830078,-120.45750427246094,1.9506102830171586,149.29785798725328,37.744489569413034
70,-153.49295774647888,0.18697790801525116,0.0025736577808856964,0.006933149881660938,1,1.235969193658093e-06,0.9997422099113464,9.554135260714247e-09,0.00012512589455582201,0.00013142339594196528,-123.8030014038086,-116.66873931884766,-120.4032974243164,-120.25882720947266,-121.58073425292969,1.6537596523761748,152.77919387817383,33.629831433296204
71,-157.56136363636364,0.1874610185623169,0.002226373180747032,0.004429151304066181,1,1.0374955081715598e-06,0.9997805953025818,7.837552828959815e-09,0.00010838447633432224,0.00011004961561411619,-124.89637756347656,-117.0868148803711,-121.24174499511719,-121.14189147949219,-122.69084167480469,1.8508305251598358,150.64984300401477,26.229515075683594
72,-252.2954545454545,0.1884765326976776,0.0016334482934325933,0.002938696416094899,1,7.139084914342675e-07,0.9998441934585571,5.1350377283654325e-09,7.945169636514038e-05,7.559846562799066e-05,-127.22168731689453,-118.01651000976562,-123.02859497070312,-123.14522552490234,-124.80535888671875,2.040092791120211,153.29547279759458,35.01272999612909
73,-157.0772727272727,0.18884922564029694,0.0014631454832851887,0.0027073596138507128,1,6.252060984479613e-07,0.9998620748519897,4.4215857641916045e-09,7.10326639818959e-05,6.627967377426103e-05,-128.1339111328125,-118.29983520507812,-123.62469482421875,-123.85873413085938,-125.54202270507812,2.2328935265541077,152.75154549734933,44.04383250645229
74,-143.73661971830987,0.18932731449604034,0.00128109659999609,0.0037626419216394424,1,5.330210228748911e-07,0.9998807907104492,3.6935263736381785e-09,6.196741742314771e-05,5.662756666424684e-05,-129.30120849609375,-118.70233154296875,-124.37348175048828,-124.81055450439453,-126.46989440917969,2.327582907676697,160.00980631510416,25.095930099487305
