episode,reward
405,-2604.3142857142857
406,-2268.5
407,-1189.0256410256409
408,-2803.0
409,-2175.0
410,-1103.653846153846
411,-2720.5
412,-1213.653846153846
413,-1489.0
414,-1127.153846153846
415,-1702.5
416,-2738.8142857142857
417,-822.6153846153845
418,-1794.5
419,-2658.9714285714285
420,-806.282051282051
421,-2057.157142857143
422,-2130.4714285714285
423,-2212.0
424,-2151.5
425,-1453.0
426,-1896.1
427,-1792.2857142857142
428,-1609.442857142857
429,-1183.0
430,-2053.0
431,-1369.5
432,-2700.657142857143
433,-1533.0
434,-1278.782051282051
435,-2197.2285714285713
436,-491.6538461538462
437,-2408.2285714285713
438,-1745.5
439,-2280.4142857142856
440,-656.6538461538462
441,-3507.114285714286
442,-1674.0
443,-1909.642857142857
444,-1010.4358974358972
445,-2091.6
446,-526.0256410256409
447,-700.1538461538462
448,-1524.0
449,-375.93589743589746
450,-1117.0
451,-434.06410256410254
452,-1661.0
453,-2135.4
454,-2611.457142857143
455,-1663.0
456,-1519.0
457,-2757.871428571428
458,-622.102564102564
459,-1549.4
460,-1771.5857142857142
461,-764.5571428571428
462,-663.0
463,-421.33333333333337
464,-1102.2
465,-1563.3714285714286
466,-1958.6571428571428
467,-251.7051282051282
468,23.653846153846168
469,-325.3717948717949
470,-101.64102564102564
471,-2041.442857142857
472,-776.0
473,-62.21794871794873
474,-656.0
475,-642.5
476,-797.0
477,-129.91025641025644
478,-600.0
479,-3.948717948717949
480,-126.80769230769238
481,-701.5
482,-1527.7285714285713
483,-597.0
484,-2532.2571428571428
485,-2951.5
486,-2703.157142857143
487,-2940.2285714285713
488,-210.94871794871796
489,-195.94871794871796
490,-15.948717948717956
491,4.820512820512818
492,-579.0
493,-502.0
494,-588.0
495,-570.0
496,-1523.7857142857142
497,-1466.3
498,-505.0
499,-2143.6285714285714
500,-1067.0571428571427
