episode,reward,alpha,ent_ref,ent_ep,argmax_ref,p0,p1,p2,p3,p4,q0,q1,q2,q3,q4,z_norm,loss_actor,loss_critic
1,-860.2690476190478,0.20000000298023224,1.609255313873291,1.6092517375946045,1,0.19499780237674713,0.20491057634353638,0.19614845514297485,0.2012045532464981,0.20273856818675995,-0.02828969620168209,-0.002122528851032257,-0.04514740779995918,0.027954641729593277,0.071448415517807,2.7808076360008935,,
2,-1233.6454545454549,0.19547905027866364,1.5871058702468872,1.5932785272598267,3,0.17687676846981049,0.16957569122314453,0.15141530334949493,0.2511540353298187,0.2509782314300537,-0.10339418053627014,-0.1132313460111618,-0.14474299550056458,-0.023364044725894928,-0.01994355209171772,2.267532732980005,-0.2682675841296541,148.00258123463598
3,-201.04545454545453,0.1950986534357071,1.5859293937683105,1.5798612833023071,3,0.17897929251194,0.165694922208786,0.15082086622714996,0.2547859251499176,0.2497190237045288,-0.11427845060825348,-0.12518924474716187,-0.15573391318321228,-0.033261239528656006,-0.03170124441385269,2.1840036630630495,-0.18864215165376663,152.74341430664063
4,-791.5409090909093,0.19301778078079224,1.5843229293823242,1.5797332525253296,3,0.18148480355739594,0.15537674725055695,0.15569087862968445,0.2613274157047272,0.24612018465995789,-0.18640394508838654,-0.21398502588272095,-0.22718274593353271,-0.10526415705680847,-0.1175701692700386,2.0259890833371124,-0.12170613025399772,149.16865761496803
5,-374.2394366197183,0.1922600120306015,1.5809181928634644,1.581790566444397,3,0.18313120305538177,0.14928336441516876,0.15489506721496582,0.26925063133239746,0.2434396892786026,-0.2223052680492401,-0.25608697533607483,-0.2639977037906647,-0.1418725997209549,-0.1607036590576172,1.9306280042814172,-0.03600319081451744,151.84053955078124
6,-262.5,0.19173286855220795,1.5814478397369385,1.57619309425354,3,0.18430422246456146,0.1490534394979477,0.15644977986812592,0.2722620666027069,0.23793049156665802,-0.2494696080684662,-0.29238101840019226,-0.2931230962276459,-0.1724829226732254,-0.19898439943790436,2.0836431980133057,0.0047892508873701445,163.89522879464286
7,-1039.047727272727,0.18780824542045593,1.5558300018310547,1.5732086896896362,0,0.27853158116340637,0.11496906727552414,0.1581430584192276,0.27357468008995056,0.17478159070014954,-0.5838416814804077,-0.7487466335296631,-0.70183926820755,-0.5847848057746887,-0.6637758612632751,1.9336968272362116,0.30542659014463425,164.449459291854
8,-205.4887323943662,0.18735428154468536,1.5446444749832153,1.5342178344726562,0,0.29589003324508667,0.10898854583501816,0.15990018844604492,0.27273687720298767,0.1624843180179596,-0.6454665660858154,-0.8315892815589905,-0.7742893695831299,-0.6584527492523193,-0.7505811452865601,2.2603349410570583,0.6826475537740267,169.52217336801382
9,-1277.2931818181826,0.18439342081546783,0.9122801423072815,1.2538427114486694,0,0.7456853985786438,0.04402031749486923,0.05833916366100311,0.08637922257184982,0.06557591259479523,-2.405086040496826,-2.9265427589416504,-2.885200023651123,-2.8049814701080322,-2.843608856201172,1.8898759678006172,1.8477712163329125,149.2294487762451
10,-311.3704225352114,0.1910613775253296,0.2334059327840805,0.4515721797943115,0,0.9572327733039856,0.009007123298943043,0.009069814346730709,0.007433194667100906,0.017257118597626686,-6.482301235198975,-7.376314163208008,-7.39576530456543,-7.455723762512207,-7.264239311218262,1.9830611333251,5.634489629268646,142.30501113891603
11,-12.834090909090925,0.20055270195007324,0.08855057507753372,0.10855598747730255,0,0.9863566160202026,0.004368925932794809,0.002303504152223468,0.000886317458935082,0.00608469033613801,-13.742609024047852,-14.812472343444824,-15.020594596862793,-15.414974212646484,-14.767084121704102,2.020825315117836,13.131321568489074,118.42380081176758
12,-182.83873239436622,0.21020758152008057,0.005721984896808863,0.038026999682188034,0,0.9994035959243774,0.00023238288122229278,0.00010045664384961128,2.5892644771374762e-05,0.00023765717924106866,-24.076053619384766,-26.12943458557129,-26.480545043945312,-27.58559799194336,-26.187118530273438,1.9868808871507644,24.701197414398194,103.9380558013916
13,-65.41267605633803,0.21992498636245728,0.0007642105920240283,0.003448387375101447,0,0.999935507774353,2.2575353796128184e-05,1.2559970855363645e-05,2.9506873033824377e-06,2.646396023919806e-05,-36.92791748046875,-41.63198471069336,-42.40283203125,-43.86473083496094,-42.14952850341797,1.9232821768522264,40.31100154876709,91.50981822967529
14,-123.7619047619049,0.2297671139240265,0.00018134241690859199,0.0006686152773909271,0,0.9999865293502808,4.355049895821139e-06,2.894459157687379e-06,6.660442863903882e-07,5.604349098575767e-06,-48.410499572753906,-59.572975158691406,-60.81543731689453,-62.62388610839844,-60.88260269165039,2.0012798693776133,56.37200065612793,73.96610252380371
15,-242.784090909091,0.23982281982898712,5.9846832300536335e-05,0.00017730789841152728,0,0.9999959468841553,1.2444318144844146e-06,9.365144251205493e-07,2.149337490209291e-07,1.7023630789481103e-06,-58.16385269165039,-78.81273651123047,-80.56836700439453,-82.68898010253906,-81.71685791015625,1.977579526901245,70.25372798919678,61.43969675064087
16,113.28380281690139,0.2501525580883026,2.597926140879281e-05,8.904479182092473e-05,0,0.9999983310699463,4.906138428850682e-07,3.9906518622956355e-07,9.18135256711139e-08,6.949885005269607e-07,-65.70262145996094,-96.7203598022461,-100.07377624511719,-101.13546752929688,-103.85082244873047,1.9366997326910496,80.17024127960205,51.76166491031647
17,27.209523809523816,0.2608013451099396,1.5750858437968418e-05,4.146982973907143e-05,0,0.9999990463256836,2.824440628046432e-07,2.403567975761689e-07,5.596471197577557e-08,4.0627594444231363e-07,-61.300132751464844,-106.85731506347656,-111.52534484863281,-110.75672912597656,-118.00849151611328,1.9411998561024666,81.1911750793457,42.36892457008362
18,-91.54436619718302,0.2718055248260498,1.1537547834450379e-05,3.828515036730096e-05,0,0.9999994039535522,2.0179638227091345e-07,1.771885251855565e-07,4.192908065192569e-08,2.9260317546686565e-07,-51.704193115234375,-105.06742095947266,-109.94461822509766,-110.18386840820312,-118.28620910644531,1.956854828298092,70.84567449569703,37.46640371799469
19,-11.973809523809535,0.2784203588962555,9.759274689713493e-06,1.168735707324231e-05,0,0.9999994039535522,1.657957255929432e-07,1.480188842606367e-07,3.535911119456614e-08,2.4141064614013885e-07,-47.49361801147461,-102.1308364868164,-108.2419204711914,-107.68616485595703,-117.12147521972656,1.8950664691435986,61.66928782014765,34.38423795781584
20,62.22042253521127,0.2900504469871521,7.988757715793326e-06,2.2404035917134024e-05,0,0.9999995231628418,1.3303171897405264e-07,1.2116487368984963e-07,2.9425043734931933e-08,1.9434423847997095e-07,-43.1856689453125,-99.1176528930664,-106.59457397460938,-106.16732788085938,-117.02151489257812,1.9237915831804275,54.85302104949951,35.77523418903351
