episode,reward,action_entropy,z_norm,actions
1,-860.2690476190478,1.6092517375946045,2.7808076360008935,"Counter({2: 21, 0: 20, 1: 19, 4: 18, 3: 10})"
2,-1233.6454545454549,1.5932785272598267,2.267532732980005,"Counter({0: 31, 3: 26, 4: 26, 2: 17, 1: 16})"
3,-201.04545454545453,1.5798612833023071,2.1840036630630495,"Counter({2: 4, 3: 3, 4: 2, 1: 1})"
4,-791.5409090909093,1.5797332525253296,2.0259890833371124,"Counter({0: 17, 3: 16, 4: 16, 2: 12, 1: 10})"
5,-374.2394366197183,1.581790566444397,1.9306280042814172,"Counter({4: 7, 2: 5, 1: 5, 0: 4, 3: 2})"
6,-262.5,1.57619309425354,2.0836431980133057,"Counter({2: 4, 3: 4, 4: 3, 1: 2, 0: 1})"
7,-1039.047727272727,1.5732086896896362,1.9336968272362116,"Counter({0: 25, 3: 24, 2: 22, 4: 19, 1: 16})"
8,-205.4887323943662,1.5342178344726562,2.2603349410570583,"Counter({2: 5, 3: 4, 4: 2, 0: 1, 1: 1})"
9,-1277.2931818181826,1.2538427114486694,1.8898759678006172,"Counter({0: 85, 2: 39, 3: 31, 4: 30, 1: 15})"
10,-311.3704225352114,0.4515721797943115,1.9830611333251,"Counter({0: 135, 3: 19, 2: 17, 1: 17, 4: 12})"
11,-12.834090909090925,0.10855598747730255,2.020825315117836,"Counter({0: 153, 1: 13, 2: 12, 4: 11, 3: 11})"
12,-182.83873239436622,0.038026999682188034,1.9868808871507644,"Counter({0: 148, 1: 21, 4: 15, 2: 8, 3: 8})"
13,-65.41267605633803,0.003448387375101447,1.9232821768522264,"Counter({0: 151, 3: 18, 4: 11, 1: 11, 2: 9})"
14,-123.7619047619049,0.0006686152773909271,2.0012798693776133,"Counter({0: 149, 4: 14, 1: 13, 2: 13, 3: 11})"
15,-242.784090909091,0.00017730789841152728,1.977579526901245,"Counter({0: 150, 4: 18, 2: 12, 1: 12, 3: 8})"
16,113.28380281690139,8.904479182092473e-05,1.9366997326910496,"Counter({0: 163, 3: 13, 1: 9, 4: 9, 2: 6})"
17,27.209523809523816,4.146982973907143e-05,1.9411998561024666,"Counter({0: 155, 2: 14, 3: 12, 4: 10, 1: 9})"
18,-91.54436619718302,3.828515036730096e-05,1.956854828298092,"Counter({0: 151, 3: 14, 2: 13, 4: 13, 1: 9})"
19,-11.973809523809535,1.168735707324231e-05,1.8950664691435986,"Counter({0: 100, 1: 7, 2: 6, 3: 3, 4: 1})"
