episode,reward,action_entropy,z_norm,actions
1,-1593.4323943661966,1.6068649291992188,2.3528711944818497,"Counter({0: 57, 1: 39, 4: 38, 3: 37, 2: 29})"
2,-295.3084507042254,1.5972139835357666,2.3441013172268867,"Counter({4: 5, 1: 5, 0: 3, 3: 2, 2: 1})"
3,-235.875,1.596472978591919,1.8736422743116106,"Counter({1: 4, 4: 3, 3: 3, 0: 2, 2: 2})"
4,-742.9070422535209,1.561852216720581,2.3230671786298656,"Counter({0: 30, 1: 29, 4: 15, 2: 14, 3: 11})"
5,-497.44014084507046,1.4960907697677612,2.1903589426302443,"Counter({0: 13, 2: 12, 3: 12, 4: 8, 1: 6})"
6,-962.3295454545448,1.1468620300292969,2.1708531796932222,"Counter({0: 96, 3: 32, 4: 27, 1: 25, 2: 20})"
7,-80.16904761904766,0.24051439762115479,2.027656486928463,"Counter({0: 150, 3: 18, 1: 11, 2: 11, 4: 10})"
8,-100.50633802816904,0.05026848241686821,2.0654403123259546,"Counter({0: 148, 1: 17, 3: 13, 4: 12, 2: 10})"
9,196.24761904761908,0.0037348968908190727,1.9701819550991058,"Counter({0: 162, 1: 14, 3: 12, 2: 7, 4: 5})"
10,78.25000000000004,0.001413839403539896,1.9955272960662842,"Counter({0: 163, 3: 12, 2: 9, 4: 9, 1: 7})"
11,22.679545454545494,0.0007540408405475318,1.9915114223957062,"Counter({0: 157, 1: 13, 3: 11, 4: 10, 2: 9})"
12,-36.469014084507066,0.0004946780973114073,1.9781749173998833,"Counter({0: 153, 3: 15, 1: 12, 4: 11, 2: 9})"
13,-23.824999999999996,0.00026109215104952455,1.95064137250185,"Counter({0: 151, 3: 15, 2: 14, 1: 10, 4: 10})"
14,-7.742857142857119,0.00010917169856838882,1.9876725137233735,"Counter({0: 157, 1: 14, 4: 11, 2: 9, 3: 9})"
15,-153.26760563380284,0.00018745333363767713,2.0273834538459776,"Counter({0: 153, 4: 16, 1: 13, 2: 9, 3: 9})"
16,-62.54154929577468,9.9334996775724e-05,1.9243807375431061,"Counter({0: 152, 1: 18, 4: 12, 3: 10, 2: 8})"
17,-94.33732394366196,9.008856432046741e-05,1.9149188265204429,"Counter({0: 154, 4: 14, 1: 13, 2: 10, 3: 9})"
18,-47.38239436619714,6.4301879319828e-05,1.9290524855256082,"Counter({0: 158, 4: 13, 2: 12, 3: 9, 1: 8})"
19,-15.089436619718288,5.056471491116099e-05,1.9572016763687134,"Counter({0: 152, 3: 16, 2: 12, 1: 10, 4: 10})"
20,145.4204545454546,1.77548445208231e-05,2.0029837733507154,"Counter({0: 162, 2: 15, 3: 11, 1: 6, 4: 6})"
21,80.93309859154928,3.279065276728943e-05,1.9648540595173836,"Counter({0: 156, 1: 19, 3: 10, 4: 8, 2: 7})"
22,-39.06818181818182,2.88097307930002e-05,1.9264001855254174,"Counter({0: 161, 4: 14, 1: 12, 2: 7, 3: 6})"
