已加载 logs/compare/PEARL_seed0\best_model.pt

============================================================================================
Unit 16  seq_len=63  （纯 run 推进，z=zero-context mu）
============================================================================================
  t   pA   pB | argmax |  π:run    修A    修B   修AB    更换 |   Q:run     修A     修B    修AB     更换 | maxRepairQ-runQ
  0    0    0 |    run |  0.977 0.010 0.012 0.001 0.000 |    80.9   69.4   69.7   62.6   50.6 |           -11.2
  1    1    1 |    run |  0.987 0.006 0.007 0.000 0.000 |    90.0   77.2   77.5   69.6   56.3 |           -12.5
  2    2    2 |    run |  0.989 0.005 0.006 0.000 0.000 |    92.5   79.3   79.7   71.6   57.9 |           -12.9
 10   10   10 |    run |  0.990 0.004 0.005 0.000 0.000 |    95.1   81.5   81.8   73.5   59.6 |           -13.2
 20   20   20 |    run |  0.989 0.005 0.006 0.000 0.000 |    92.1   79.0   79.3   71.4   58.0 |           -12.8
 30   30   30 |    run |  0.981 0.009 0.010 0.001 0.000 |    83.6   71.7   72.1   64.9   53.1 |           -11.5
 32   32   32 |    run |  0.974 0.012 0.013 0.001 0.000 |    78.4   67.3   67.7   61.0   50.0 |           -10.8
 33   33   33 |    run |  0.973 0.012 0.014 0.001 0.000 |    77.6   66.7   67.0   60.4   49.5 |           -10.6
 34   34   34 |    run |  0.971 0.013 0.015 0.001 0.000 |    76.7   65.9   66.2   59.7   49.0 |           -10.5
 35   35   35 |    run |  0.970 0.014 0.015 0.001 0.000 |    76.3   65.5   65.8   59.4   48.8 |           -10.4
 36   36   36 |    run |  0.970 0.014 0.015 0.001 0.000 |    76.3   65.6   65.9   59.4   48.9 |           -10.4
 37   37   37 |    run |  0.967 0.015 0.017 0.001 0.000 |    75.2   64.6   64.9   58.6   48.2 |           -10.3
 38   38   38 |    run |  0.966 0.016 0.017 0.002 0.000 |    74.7   64.2   64.5   58.2   47.9 |           -10.2
 39   39   39 |    run |  0.962 0.017 0.019 0.002 0.000 |    73.0   62.7   63.1   56.9   47.0 |            -9.9
 40   40   40 |    run |  0.957 0.019 0.021 0.002 0.000 |    71.5   61.5   61.8   55.9   46.2 |            -9.6
 41   41   41 |    run |  0.950 0.022 0.025 0.003 0.000 |    69.1   59.6   59.9   54.3   45.1 |            -9.2
 42   42   42 |    run |  0.939 0.027 0.030 0.004 0.000 |    66.1   57.1   57.4   52.2   43.5 |            -8.7
 43   43   43 |    run |  0.943 0.026 0.028 0.004 0.000 |    67.2   58.1   58.3   53.1   44.2 |            -8.9
 44   44   44 |    run |  0.937 0.028 0.030 0.004 0.000 |    66.0   57.2   57.4   52.4   43.8 |            -8.6
 45   45   45 |    run |  0.920 0.036 0.037 0.006 0.000 |    63.0   54.7   54.9   50.4   42.3 |            -8.1
 46   46   46 |    run |  0.920 0.036 0.037 0.006 0.000 |    63.3   55.1   55.2   50.7   42.7 |            -8.1
 47   47   47 |    run |  0.899 0.045 0.046 0.009 0.000 |    60.1   52.5   52.5   48.5   41.1 |            -7.5
