episode,reward,action_entropy,z_norm,actions
1,-189.88333333333333,1.608903169631958,2.4264897227287294,"Counter({2: 4, 1: 3, 4: 2, 3: 1})"
2,-269.63863636363635,1.6090590953826904,2.6984233306004453,"Counter({4: 4, 2: 4, 3: 3, 0: 2})"
3,-564.1605633802818,1.6086714267730713,2.3831664827363244,"Counter({0: 15, 2: 13, 4: 11, 1: 10, 3: 9})"
4,-626.7357142857144,1.6060134172439575,2.2298372098377772,"Counter({0: 18, 1: 15, 2: 14, 3: 13, 4: 10})"
5,-795.3823943661973,1.593636393547058,2.239635604399222,"Counter({3: 19, 0: 18, 1: 16, 2: 16, 4: 12})"
6,-178.9590909090909,1.583250880241394,2.1344154953956602,"Counter({2: 5, 3: 3, 4: 1, 1: 1})"
7,-539.5035211267608,1.5653332471847534,2.329737469835101,"Counter({0: 15, 4: 11, 2: 11, 3: 9, 1: 7})"
8,-1197.8380952380955,1.3482476472854614,2.117544358968735,"Counter({0: 86, 4: 32, 3: 29, 2: 29, 1: 24})"
9,-505.39285714285677,0.5689808130264282,2.028854730725288,"Counter({0: 124, 3: 27, 4: 19, 2: 17, 1: 13})"
10,-97.7492957746478,0.08843417465686798,2.06368650585413,"Counter({0: 149, 1: 16, 3: 12, 2: 12, 4: 11})"
11,-23.34285714285724,0.01165707502514124,2.031033127605915,"Counter({0: 152, 3: 15, 1: 14, 4: 10, 2: 9})"
12,-138.23409090909098,0.0036022996064275503,1.9853706398606301,"Counter({0: 158, 4: 16, 3: 10, 2: 8, 1: 8})"
13,205.10454545454553,0.0006731192697770894,1.9300156790018081,"Counter({0: 165, 1: 10, 3: 10, 2: 9, 4: 6})"
14,0.1250000000001208,0.0005019587115384638,2.0240705025196077,"Counter({0: 156, 3: 13, 2: 11, 4: 11, 1: 9})"
15,112.19523809523804,0.00014842057134956121,1.9991251891851425,"Counter({0: 160, 2: 12, 3: 10, 1: 10, 4: 8})"
16,-19.122727272727303,0.00017984217265620828,1.9527681913971902,"Counter({0: 160, 4: 13, 2: 12, 1: 8, 3: 7})"
17,-73.55714285714295,7.177658699220046e-05,2.0162041851878167,"Counter({0: 153, 2: 15, 1: 13, 4: 13, 3: 6})"
18,-148.19545454545448,8.021993562579155e-05,1.9063391411304473,"Counter({0: 152, 3: 17, 1: 13, 4: 12, 2: 6})"
19,-40.988095238095326,5.331277861841954e-05,1.9430455833673477,"Counter({0: 156, 2: 13, 4: 12, 3: 10, 1: 9})"
20,33.07857142857141,2.9089609597576782e-05,1.9920518350601197,"Counter({0: 152, 2: 19, 1: 11, 4: 10, 3: 8})"
21,-160.86760563380267,5.884629354113713e-05,1.976976174712181,"Counter({0: 151, 2: 15, 4: 15, 3: 10, 1: 9})"
22,-21.107746478873203,4.422634083312005e-05,1.9347101414203645,"Counter({0: 151, 2: 18, 1: 13, 4: 10, 3: 8})"
23,128.20000000000005,2.0914427295792848e-05,1.92768056422472,"Counter({0: 168, 3: 12, 4: 8, 1: 7, 2: 5})"
24,-130.16666666666674,2.2066826204536483e-05,1.869401866197586,"Counter({0: 145, 2: 17, 4: 13, 3: 13, 1: 12})"
25,-10.649999999999928,2.4925673642428592e-05,1.9006828790903092,"Counter({0: 163, 4: 13, 2: 10, 1: 7, 3: 7})"
26,-39.405633802816865,3.208774433005601e-05,1.9536849644780159,"Counter({0: 163, 4: 14, 3: 9, 1: 7, 2: 7})"
27,207.7547619047619,8.829523721942678e-06,1.9345101287961006,"Counter({0: 170, 2: 12, 4: 8, 3: 5, 1: 5})"
28,-11.286363636363518,4.823208200832596e-06,1.859901030237476,"Counter({0: 158, 1: 12, 2: 11, 3: 9, 4: 2})"
29,-269.65000000000015,1.5696279660915025e-05,1.9210834071040153,"Counter({0: 151, 4: 18, 3: 15, 2: 10, 1: 6})"
30,-196.40681818181815,8.651264579384588e-06,1.92389938999445,"Counter({0: 125, 3: 11, 2: 9, 1: 6, 4: 5})"
31,-17.907746478873214,2.0259636585251428e-05,1.9699959534406661,"Counter({0: 156, 1: 13, 4: 12, 3: 12, 2: 7})"
32,-183.0738095238097,1.3552657037507743e-05,1.8518754836916924,"Counter({0: 152, 2: 16, 4: 16, 3: 11, 1: 5})"
33,-16.040476190476255,9.05690740182763e-06,1.897584615945816,"Counter({0: 161, 4: 12, 3: 10, 2: 9, 1: 8})"
34,-13.918181818181765,1.1363525118213147e-05,1.9222634044289588,"Counter({0: 155, 3: 12, 1: 12, 2: 12, 4: 9})"
35,106.30774647887323,1.0835917237272952e-05,1.9500590640306472,"Counter({0: 159, 3: 12, 2: 11, 1: 10, 4: 8})"
36,36.958450704225456,1.0987582754751202e-05,1.9237921917438507,"Counter({0: 158, 1: 15, 4: 10, 3: 10, 2: 7})"
37,-103.28239436619714,1.6242649508058093e-05,1.9070120322704316,"Counter({0: 152, 3: 14, 2: 13, 4: 13, 1: 8})"
38,-183.07142857142858,4.691849881055532e-06,1.9453120362467882,"Counter({0: 67, 3: 6, 2: 4, 1: 3, 4: 2})"
39,-177.73809523809547,8.170900400727987e-06,1.9507858622074128,"Counter({0: 155, 4: 17, 2: 14, 3: 8, 1: 6})"
40,-258.47112676056344,1.9295874153613113e-05,1.9442669847607612,"Counter({0: 158, 4: 20, 1: 9, 2: 7, 3: 6})"
41,142.96136363636373,8.892855476005934e-06,1.952037445306778,"Counter({0: 171, 4: 10, 3: 8, 1: 8, 2: 3})"
42,82.20454545454547,9.05434262676863e-06,1.8850213646888734,"Counter({0: 164, 2: 11, 4: 10, 3: 8, 1: 7})"
43,130.4478873239437,1.0502199074835517e-05,1.9701744228601457,"Counter({0: 163, 2: 12, 4: 9, 1: 8, 3: 8})"
44,50.37500000000004,1.1325979357934557e-05,1.9705888286232949,"Counter({0: 166, 4: 11, 3: 10, 2: 8, 1: 5})"
45,-18.01363636363633,1.1040490790037438e-05,1.9474391323328017,"Counter({0: 161, 1: 12, 4: 12, 3: 8, 2: 7})"
46,-217.7227272727273,1.6357882486772723e-05,1.8642046943306922,"Counter({0: 152, 4: 16, 1: 13, 3: 11, 2: 8})"
47,237.77727272727276,1.213921950693475e-05,1.9278220441937446,"Counter({0: 171, 2: 10, 1: 7, 4: 7, 3: 5})"
48,150.65281690140853,0.0015125955687835813,1.9652556604146958,"Counter({0: 162, 2: 13, 1: 11, 4: 8, 3: 6})"
49,175.75,0.025526978075504303,1.9456729197502136,"Counter({0: 165, 2: 11, 1: 9, 4: 8, 3: 7})"
50,183.35952380952375,0.05270368605852127,1.964360531270504,"Counter({0: 172, 4: 9, 2: 8, 3: 6, 1: 5})"
51,54.235714285714295,0.09691748023033142,2.0459046205878257,"Counter({0: 161, 2: 11, 3: 10, 4: 10, 1: 8})"
52,-99.89545454545451,0.10426084697246552,1.978014467358589,"Counter({0: 152, 3: 14, 4: 12, 1: 11, 2: 11})"
53,166.87464788732402,0.16034294664859772,1.929525449872017,"Counter({0: 168, 3: 15, 2: 7, 4: 7, 1: 3})"
54,163.89318181818186,0.16616703569889069,1.961616349518299,"Counter({0: 161, 3: 11, 1: 11, 2: 10, 4: 7})"
55,90.19507042253522,0.3616032302379608,1.9356632593274117,"Counter({0: 157, 3: 17, 2: 13, 1: 7, 4: 6})"
56,153.08863636363648,0.3302823603153229,1.9362346509099007,"Counter({0: 163, 2: 11, 3: 10, 1: 8, 4: 8})"
57,116.74647887323943,0.388337641954422,1.9423795849084855,"Counter({0: 159, 1: 12, 3: 11, 2: 11, 4: 7})"
58,52.06971830985921,0.45643502473831177,1.9594939681887626,"Counter({0: 154, 1: 15, 3: 12, 2: 12, 4: 7})"
59,-12.75,0.41942062973976135,1.9735438966751098,"Counter({0: 152, 1: 17, 3: 14, 2: 9, 4: 8})"
60,66.68028169014084,0.42439162731170654,1.8633375731110573,"Counter({0: 149, 2: 17, 1: 15, 3: 13, 4: 6})"
61,-140.7738095238096,0.4634188413619995,1.9621832835674287,"Counter({0: 147, 2: 15, 4: 14, 1: 12, 3: 12})"
62,-110.40454545454534,0.4260921776294708,1.9846725338697433,"Counter({0: 145, 1: 17, 2: 15, 4: 12, 3: 11})"
63,-173.82816901408455,0.5035791993141174,1.9540682607889175,"Counter({0: 143, 3: 18, 2: 15, 1: 14, 4: 10})"
64,-119.62380952380954,0.41935670375823975,1.9901382374763488,"Counter({0: 146, 1: 19, 2: 14, 4: 12, 3: 9})"
65,35.19999999999998,0.4154108464717865,2.057815409600735,"Counter({0: 150, 2: 18, 1: 14, 3: 11, 4: 7})"
66,-74.8295454545455,0.3787914216518402,1.8766626134514808,"Counter({0: 155, 1: 13, 4: 12, 2: 12, 3: 8})"
67,21.04084507042257,0.4222795069217682,1.901121136546135,"Counter({0: 152, 2: 16, 3: 15, 1: 10, 4: 7})"
68,-149.48095238095243,0.4481792449951172,1.9636713126301766,"Counter({0: 148, 1: 14, 2: 13, 4: 13, 3: 12})"
69,-193.825,0.49449658393859863,1.959315984826727,"Counter({0: 152, 1: 16, 2: 13, 3: 9, 4: 4})"
70,-39.94318181818187,0.3680090308189392,1.924166012108326,"Counter({0: 153, 3: 17, 1: 11, 2: 10, 4: 9})"
71,11.68591549295774,0.41497015953063965,1.8815496957302094,"Counter({0: 161, 1: 14, 4: 12, 3: 8, 2: 5})"
