episode,reward,alpha,ent_ref,ent_ep,argmax_ref,p0,p1,p2,p3,p4,q0,q1,q2,q3,q4,z_norm,loss_actor,loss_critic
1,-223.2,0.20000000298023224,1.608206868171692,1.6083972454071045,4,0.18927879631519318,0.19552776217460632,0.2036317139863968,0.1938716173171997,0.217690110206604,0.02063876949250698,-0.0296645425260067,-0.030302677303552628,-0.05440115928649902,0.05099097639322281,3.1429755687713623,,
2,-431.3880281690141,0.20000000298023224,1.608206868171692,1.6084474325180054,4,0.18927879631519318,0.19552776217460632,0.2036317139863968,0.1938716173171997,0.217690110206604,0.02063876949250698,-0.0296645425260067,-0.030302677303552628,-0.05440115928649902,0.05099097639322281,2.7717332243919373,,
3,-639.4522727272727,0.20000000298023224,1.608206868171692,1.6083282232284546,4,0.18927879631519318,0.19552776217460632,0.2036317139863968,0.1938716173171997,0.217690110206604,0.02063876949250698,-0.0296645425260067,-0.030302677303552628,-0.05440115928649902,0.05099097639322281,2.7191596318174294,,
4,-426.9477272727273,0.1989244967699051,1.5994890928268433,1.6043627262115479,4,0.2132761925458908,0.17564162611961365,0.18797141313552856,0.1733277440071106,0.24978311359882355,0.0006169397383928299,-0.05270852521061897,-0.06544674187898636,-0.07342085242271423,0.03261127322912216,2.6075034980420715,-0.2974806759092543,179.30516391330295
5,-417.5014084507043,0.19707702100276947,1.598244309425354,1.5954148769378662,4,0.2314503788948059,0.17605942487716675,0.16960914433002472,0.1814464032649994,0.24143469333648682,-0.03209942951798439,-0.10283374786376953,-0.1275327056646347,-0.11062231659889221,-0.020403485745191574,2.356925944064526,-0.24289450715196895,191.86591550137135
6,-855.6570422535209,0.19394685328006744,1.5835977792739868,1.5900577306747437,0,0.2501803934574127,0.1561736911535263,0.1396690309047699,0.21087588369846344,0.24310098588466644,-0.15451686084270477,-0.25605323910713196,-0.29245707392692566,-0.2242351770401001,-0.15524448454380035,2.272674682699604,-0.10334754285667046,173.38234381028164
7,-214.1095238095238,0.1935701072216034,1.5821003913879395,1.5779168605804443,0,0.24973736703395844,0.15429304540157318,0.13747163116931915,0.2151857614517212,0.24331225454807281,-0.17751950025558472,-0.28336429595947266,-0.32056424021720886,-0.24519850313663483,-0.18084433674812317,2.26214417219162,0.0344962505158037,176.7153106689453
8,-624.9904761904762,0.19161173701286316,1.5622196197509766,1.570056438446045,0,0.2769312560558319,0.13878515362739563,0.12014772742986679,0.23099307715892792,0.23314274847507477,-0.32963085174560547,-0.4616732895374298,-0.5054888725280762,-0.39927005767822266,-0.35305479168891907,2.066572659420517,0.17522687313832203,173.8872965686726
9,-908.1333333333337,0.18838459253311157,1.5239527225494385,1.5447049140930176,0,0.3054044544696808,0.10801336914300919,0.1045823022723198,0.2536723017692566,0.22832757234573364,-0.7860995531082153,-0.9773507118225098,-1.0025532245635986,-0.8476669192314148,-0.8348244428634644,1.9692950494911359,0.613153874874115,173.03492604131284
10,-1132.557042253521,0.1849578469991684,1.4783884286880493,1.5050671100616455,0,0.2978106141090393,0.08399996161460876,0.08101341128349304,0.2618551254272461,0.2753209173679352,-1.7285279035568237,-1.9572999477386475,-1.986765742301941,-1.7687641382217407,-1.7391040325164795,1.909563272066836,1.5666614849612397,169.3767773610241
11,-961.6136363636364,0.18235662579536438,1.4242658615112305,1.4565198421478271,4,0.2378690242767334,0.05531434342265129,0.07549412548542023,0.3035454750061035,0.32777702808380127,-2.927851915359497,-3.2085471153259277,-3.151526927947998,-2.8926758766174316,-2.8622682094573975,1.8643024134081463,2.9546154529549353,168.88471612264945
12,-372.45952380952383,0.1818653643131256,1.400691270828247,1.4303126335144043,4,0.2138243168592453,0.04692765697836876,0.07695221155881882,0.3052655756473541,0.35703030228614807,-3.241702079772949,-3.5165646076202393,-3.441842794418335,-3.1806910037994385,-3.1436004638671875,1.774574402305815,3.9930691851509943,159.47714148627387
13,-409.6428571428572,0.18115563690662384,1.3906655311584473,1.4132472276687622,4,0.18831975758075714,0.04660836607217789,0.07831171154975891,0.33488595485687256,0.3518742024898529,-3.738568067550659,-3.992521286010742,-3.9035327434539795,-3.644296884536743,-3.6213765144348145,1.838692793139705,4.433221887659143,172.4099804913556
