已加载 logs/compare/PEARL_seed2\best_model.pt

============================================================================================
Unit 16  seq_len=63  （纯 run 推进，z=zero-context mu）
============================================================================================
  t   pA   pB | argmax |  π:run    修A    修B   修AB    更换 |   Q:run     修A     修B    修AB     更换 | maxRepairQ-runQ
 41   41   41 |    run |  0.975 0.006 0.019 0.000 0.000 |   104.9   96.0   97.9   86.6   76.1 |            -7.0
 42   42   42 |    run |  0.968 0.008 0.023 0.000 0.000 |    99.8   91.3   93.1   82.4   72.4 |            -6.7
 43   43   43 |    run |  0.963 0.010 0.027 0.000 0.000 |    96.5   88.3   90.0   79.7   70.1 |            -6.5
 44   44   44 |    run |  0.961 0.011 0.028 0.000 0.000 |    95.2   87.1   88.8   78.6   69.2 |            -6.4
 45   45   45 |    run |  0.956 0.012 0.031 0.000 0.000 |    92.3   84.5   86.2   76.3   67.3 |            -6.2
 46   46   46 |    run |  0.950 0.014 0.036 0.000 0.000 |    89.1   81.6   83.2   73.8   65.2 |            -5.9
 47   47   47 |    run |  0.951 0.014 0.035 0.000 0.000 |    89.7   82.1   83.7   74.3   65.7 |            -5.9
 48   48   48 |    run |  0.950 0.014 0.036 0.000 0.000 |    89.3   81.8   83.4   74.0   65.6 |            -5.9
 49   49   49 |    run |  0.947 0.015 0.038 0.000 0.000 |    87.8   80.4   82.0   72.8   64.6 |            -5.8
 50   50   50 |    run |  0.949 0.015 0.037 0.000 0.000 |    88.7   81.2   82.9   73.6   65.3 |            -5.8
 51   51   51 |    run |  0.944 0.016 0.040 0.000 0.000 |    86.7   79.5   81.1   72.0   64.1 |            -5.7
 52   52   52 |    run |  0.926 0.022 0.052 0.000 0.000 |    80.3   73.7   75.2   66.8   59.7 |            -5.2
 53   53   53 |    run |  0.910 0.027 0.062 0.001 0.000 |    75.8   69.5   71.0   63.2   56.7 |            -4.8
 54   54   54 |    run |  0.886 0.036 0.077 0.001 0.000 |    70.2   64.4   65.8   58.7   53.0 |            -4.4
 55   55   55 |    run |  0.870 0.041 0.087 0.002 0.000 |    67.1   61.7   63.0   56.2   51.0 |            -4.1
 56   56   56 |    run |  0.846 0.049 0.102 0.003 0.000 |    63.1   58.1   59.3   53.0   48.4 |            -3.8
 57   57   57 |    run |  0.802 0.064 0.127 0.005 0.001 |    57.1   52.6   53.8   48.2   44.3 |            -3.3
 58   58   58 |    run |  0.783 0.071 0.138 0.007 0.001 |    54.9   50.6   51.7   46.4   42.9 |            -3.1
 59   59   59 |    run |  0.741 0.086 0.160 0.011 0.002 |    50.5   46.6   47.7   42.9   40.1 |            -2.8
 60   60   60 |    run |  0.709 0.096 0.176 0.015 0.004 |    47.6   44.0   45.1   40.6   38.3 |            -2.5
 61   61   61 |    run |  0.636 0.120 0.207 0.026 0.012 |    41.3   38.3   39.3   35.6   34.1 |            -2.0
 62   62   62 |    run |  0.522 0.149 0.239 0.050 0.040 |    33.8   31.5   32.4   29.5   29.1 |            -1.4
 63   63   63 |    run |  0.448 0.160 0.248 0.069 0.075 |    29.7   27.8   28.6   26.2   26.4 |            -1.1
 64   64   64 |    run |  0.359 0.164 0.244 0.093 0.141 |    25.2   23.7   24.4   22.6   23.4 |            -0.7
 65   65   65 |    run |  0.255 0.154 0.218 0.118 0.255 |    19.6   18.7   19.4   18.2   19.7 |            +0.0
 66   66   66 |     更换 |  0.183 0.139 0.188 0.129 0.360 |    14.7   14.3   14.8   14.2   16.4 |            +1.6  <<切到维修
 67   67   67 |     更换 |  0.158 0.132 0.177 0.130 0.403 |    12.2   12.0   12.5   12.2   14.7 |            +2.5  <<切到维修
 68   68   68 |     更换 |  0.160 0.132 0.177 0.130 0.401 |    11.7   11.6   12.1   11.8   14.4 |            +2.6  <<切到维修
 69   69   69 |     更换 |  0.129 0.123 0.165 0.127 0.455 |     5.5    5.9    6.3    6.7    9.9 |            +4.3  <<切到维修
    -> 第 69 步 done（故障/终止），停止推进
>> 结论：argmax 在 t=66 切换到维修动作。

============================================================================================
Unit 20  seq_len=66  （纯 run 推进，z=zero-context mu）
============================================================================================
  t   pA   pB | argmax |  π:run    修A    修B   修AB    更换 |   Q:run     修A     修B    修AB     更换 | maxRepairQ-runQ
  0    0    0 |    run |  0.983 0.004 0.013 0.000 0.000 |   116.8  107.1  109.0   96.0   83.5 |            -7.8
  1    1    1 |    run |  0.989 0.002 0.008 0.000 0.000 |   127.6  117.0  119.0  104.8   91.2 |            -8.6
  2    2    2 |    run |  0.991 0.002 0.007 0.000 0.000 |   131.2  120.2  122.4  107.8   93.8 |            -8.8
 10   10   10 |    run |  0.993 0.001 0.006 0.000 0.000 |   138.5  127.0  129.3  114.1   99.5 |            -9.2
 20   20   20 |    run |  0.993 0.001 0.006 0.000 0.000 |   137.7  126.2  128.5  113.5   99.2 |            -9.2
 30   30   30 |    run |  0.988 0.003 0.009 0.000 0.000 |   125.4  114.8  117.0  103.4   90.6 |            -8.4
 33   33   33 |    run |  0.986 0.003 0.011 0.000 0.000 |   120.1  109.9  112.0   99.1   86.8 |            -8.0
 34   34   34 |    run |  0.984 0.004 0.012 0.000 0.000 |   116.5  106.7  108.7   96.1   84.3 |            -7.8
 35   35   35 |    run |  0.983 0.004 0.013 0.000 0.000 |   115.7  105.9  107.9   95.5   83.8 |            -7.8
 36   36   36 |    run |  0.985 0.003 0.011 0.000 0.000 |   118.3  108.3  110.4   97.7   85.7 |            -7.9
 37   37   37 |    run |  0.986 0.003 0.011 0.000 0.000 |   119.2  109.1  111.2   98.4   86.3 |            -8.0
 38   38   38 |    run |  0.985 0.003 0.011 0.000 0.000 |   117.8  107.8  109.8   97.2   85.3 |            -7.9
 39   39   39 |    run |  0.983 0.004 0.013 0.000 0.000 |   114.3  104.6  106.6   94.3   82.8 |            -7.7
 40   40   40 |    run |  0.981 0.005 0.015 0.000 0.000 |   111.0  101.5  103.5   91.6   80.5 |            -7.5
 41   41   41 |    run |  0.975 0.006 0.019 0.000 0.000 |   105.2   96.2   98.1   86.8   76.4 |            -7.1
 42   42   42 |    run |  0.971 0.008 0.022 0.000 0.000 |   101.8   93.1   95.0   84.1   74.0 |            -6.8
 43   43   43 |    run |  0.963 0.010 0.027 0.000 0.000 |    96.7   88.5   90.3   80.0   70.6 |            -6.5
 44   44   44 |    run |  0.966 0.009 0.025 0.000 0.000 |    98.1   89.8   91.5   81.1   71.6 |            -6.5
 45   45   45 |    run |  0.965 0.009 0.026 0.000 0.000 |    97.5   89.3   91.1   80.8   71.3 |            -6.5
 46   46   46 |    run |  0.963 0.010 0.027 0.000 0.000 |    96.4   88.3   90.0   79.8   70.6 |            -6.4
 47   47   47 |    run |  0.961 0.011 0.029 0.000 0.000 |    94.9   86.9   88.6   78.6   69.6 |            -6.3
 48   48   48 |    run |  0.950 0.014 0.036 0.000 0.000 |    89.4   81.9   83.6   74.2   65.9 |            -5.8
 49   49   49 |    run |  0.937 0.018 0.044 0.000 0.000 |    83.9   76.9   78.5   69.8   62.2 |            -5.4
 50   50   50 |    run |  0.912 0.026 0.061 0.001 0.000 |    76.4   70.1   71.5   63.7   57.1 |            -4.8
 51   51   51 |    run |  0.904 0.029 0.066 0.001 0.000 |    74.3   68.2   69.6   62.0   55.8 |            -4.7
 52   52   52 |    run |  0.898 0.031 0.070 0.001 0.000 |    73.1   67.1   68.5   61.1   55.1 |            -4.6
 53   53   53 |    run |  0.863 0.043 0.092 0.002 0.000 |    66.0   60.7   62.0   55.4   50.3 |            -4.0
 54   54   54 |    run |  0.822 0.057 0.116 0.004 0.000 |    59.9   55.2   56.4   50.5   46.3 |            -3.5
 55   55   55 |    run |  0.795 0.067 0.132 0.006 0.001 |    56.4   51.9   53.1   47.6   44.0 |            -3.3
 56   56   56 |    run |  0.774 0.074 0.143 0.008 0.001 |    53.9   49.7   50.9   45.7   42.4 |            -3.1
