episode,reward
248,-2548.392307692308
249,-4629.300000000001
250,-1724.5153846153848
251,-2496.9064516129033
252,-1358.942857142857
253,-1993.730769230769
254,-711.3741935483871
255,-807.7870967741935
256,-2160.1285714285714
257,-998.4384615384615
258,-1437.0548387096776
259,-2026.8
260,-871.3285714285714
261,-3652.857142857143
262,-2041.8516129032262
263,-673.9285714285714
264,-9443.946153846155
265,-1626.7645161290322
266,-3057.4923076923083
267,-1377.5903225806453
268,-1594.4230769230767
269,-1376.5076923076922
270,-997.683870967742
271,-1520.9645161290323
272,-1666.9285714285718
273,-2583.438461538462
274,-1722.1354838709676
275,-1202.423076923077
276,-2509.1
277,-827.6741935483869
278,-4373.17741935484
279,-760.832258064516
280,-3381.2999999999997
281,-546.4580645161291
282,-1679.3290322580644
283,-1341.8064516129032
284,-3391.9285714285716
285,-1997.9428571428573
286,-1042.6428571428573
287,-562.1225806451612
288,-780.2935483870967
289,-2962.1076923076926
290,-1803.8769230769233
291,-1313.3709677419354
292,-2760.677419354839
293,-1978.1428571428576
294,-1312.2692307692307
295,-985.2645161290321
296,-786.6129032258066
297,-546.9354838709678
298,-3360.2857142857138
299,-738.4193548387096
300,-1700.7857142857142
