critic,actor
258.9819030761719,-17.954666137695312
251.1366424560547,-17.462825775146484
259.8138427734375,-18.2968807220459
251.3541259765625,-17.89599609375
262.7736511230469,-18.011812210083008
237.31492614746094,-15.761787414550781
251.77542114257812,-17.35226058959961
252.47146606445312,-17.660133361816406
238.69760131835938,-16.804035186767578
258.2620849609375,-19.402910232543945
277.26629638671875,-20.553224563598633
269.9091796875,-19.991966247558594
271.6224060058594,-19.230838775634766
255.4752197265625,-18.8741397857666
245.57839965820312,-18.2200984954834
249.78945922851562,-19.241600036621094
270.04632568359375,-22.835847854614258
259.22705078125,-20.044654846191406
241.67095947265625,-19.677459716796875
256.11248779296875,-21.6184024810791
217.00732421875,-16.014516830444336
276.53009033203125,-21.78398895263672
234.8653106689453,-17.048194885253906
232.06973266601562,-18.280231475830078
257.7955627441406,-20.96311378479004
250.82289123535156,-21.20516586303711
223.12744140625,-17.746078491210938
267.11566162109375,-24.00567054748535
226.23611450195312,-19.465499877929688
205.1279296875,-17.258596420288086
261.45758056640625,-23.18488311767578
196.84625244140625,-16.79473114013672
218.39053344726562,-19.302398681640625
215.42288208007812,-20.536209106445312
220.7815704345703,-23.366134643554688
243.1604461669922,-30.039215087890625
219.49496459960938,-19.889150619506836
226.1806640625,-24.81887435913086
200.002197265625,-25.761184692382812
226.22738647460938,-26.848934173583984
178.84120178222656,-20.749523162841797
195.09814453125,-22.1646785736084
206.7396240234375,-25.523826599121094
212.80831909179688,-26.250865936279297
149.6052703857422,-15.346867561340332
195.87576293945312,-20.671981811523438
174.21469116210938,-23.82246971130371
180.98155212402344,-19.173851013183594
174.4005584716797,-29.240379333496094
230.02767944335938,-32.474491119384766
168.20303344726562,-27.608898162841797
171.1844482421875,-31.04650115966797
170.90234375,-27.77415657043457
167.04791259765625,-22.443557739257812
165.10362243652344,-26.59365463256836
200.33786010742188,-30.284334182739258
167.47573852539062,-33.911598205566406
181.15213012695312,-34.87501907348633
169.7128448486328,-36.005088806152344
137.924560546875,-24.398115158081055
166.34234619140625,-34.40863037109375
153.63003540039062,-32.62436294555664
125.23503112792969,-49.572837829589844
141.71490478515625,-31.633440017700195
144.47293090820312,-32.6209602355957
149.75823974609375,-30.712247848510742
125.50564575195312,-27.960126876831055
135.142578125,-36.651222229003906
158.12490844726562,-44.43735122680664
151.8074951171875,-46.10527038574219
150.5623779296875,-44.331764221191406
114.34848022460938,-30.11971664428711
131.92001342773438,-42.08558654785156
103.28195190429688,-39.90476608276367
175.23306274414062,-49.10480499267578
98.4835205078125,-42.97724151611328
143.11404418945312,-53.09931564331055
120.59398651123047,-41.42225646972656
104.3758544921875,-42.95397186279297
111.98316955566406,-55.46691131591797
117.8174819946289,-34.56285858154297
103.46095275878906,-52.90030288696289
96.42253875732422,-48.598182678222656
101.39656066894531,-63.499969482421875
93.38795471191406,-44.382713317871094
77.58972930908203,-47.98655700683594
78.23091125488281,-40.225494384765625
82.62260437011719,-32.397377014160156
87.12045288085938,-54.17406463623047
87.32495880126953,-44.801979064941406
80.48658752441406,-40.372039794921875
71.18975830078125,-44.07626724243164
70.3187255859375,-26.501628875732422
66.78093719482422,-23.489425659179688
68.01348876953125,-31.726333618164062
66.67770385742188,-38.97392654418945
79.31082916259766,-41.683380126953125
88.36428833007812,22.698383331298828
66.26597595214844,-14.344654083251953
61.74016189575195,-22.17777442932129
69.6041030883789,-38.06352233886719
82.36329650878906,-38.986167907714844
94.183349609375,-41.3370475769043
59.36501693725586,-20.567760467529297
66.67550659179688,-3.8015377521514893
55.07611083984375,-30.069820404052734
66.88714599609375,-12.895235061645508
57.48126220703125,-11.481145858764648
68.33098602294922,3.60821533203125
105.61958312988281,31.02351951599121
58.27872848510742,-11.551809310913086
66.01102447509766,-10.00295639038086
86.65238189697266,22.468090057373047
55.88159942626953,-20.351411819458008
58.381263732910156,-3.1297647953033447
60.7584228515625,-12.077848434448242
59.19329071044922,-22.160675048828125
54.7781867980957,-21.33026123046875
99.27842712402344,38.27342987060547
104.87998962402344,27.136592864990234
119.82341003417969,46.11180877685547
63.98419189453125,8.694634437561035
126.92208862304688,37.328330993652344
118.45228576660156,36.484222412109375
102.21623229980469,23.256526947021484
100.55763244628906,28.23497772216797
72.42044067382812,14.794750213623047
104.27668762207031,24.879440307617188
288.268310546875,87.84028625488281
66.24128723144531,9.68156623840332
60.153663635253906,-21.426145553588867
80.69713592529297,11.133283615112305
263.77716064453125,81.37308502197266
83.69091033935547,11.021622657775879
264.2218017578125,98.05226135253906
84.7095947265625,18.272563934326172
180.77774047851562,68.67190551757812
85.22077941894531,23.480228424072266
95.84304809570312,20.293224334716797
317.3262939453125,94.74557495117188
184.18844604492188,58.1161994934082
186.36407470703125,55.56742477416992
68.58679962158203,9.453058242797852
322.9652404785156,97.82544708251953
247.2899169921875,64.80592346191406
817.124267578125,160.67098999023438
294.2982177734375,104.89876556396484
248.01861572265625,90.47575378417969
234.52127075195312,85.4625244140625
416.30035400390625,115.27656555175781
432.853759765625,114.50228118896484
513.4952392578125,107.0980224609375
583.0399780273438,102.45462036132812
705.3446044921875,184.68603515625
251.87942504882812,72.43083190917969
300.34478759765625,100.10671997070312
314.78717041015625,95.61856079101562
313.5583190917969,89.56416320800781
1117.19091796875,193.40106201171875
909.1495361328125,170.36871337890625
380.66802978515625,136.64837646484375
165.46905517578125,39.04430389404297
506.7476501464844,130.39874267578125
295.0797119140625,97.08008575439453
663.343505859375,137.7378692626953
250.74386596679688,70.17579650878906
680.2615966796875,184.41018676757812
636.5512084960938,143.90463256835938
855.8916015625,166.92034912109375
1872.6693115234375,253.5192413330078
1253.32861328125,220.41627502441406
896.4707641601562,160.0403289794922
424.1241455078125,102.9465560913086
896.8922119140625,172.30682373046875
598.174072265625,128.3767547607422
671.419189453125,168.10568237304688
2414.376220703125,302.4815673828125
586.9364013671875,133.2979278564453
1861.2496337890625,240.73809814453125
543.80224609375,116.0904541015625
444.61724853515625,77.90718078613281
605.8341674804688,147.49679565429688
3527.905517578125,359.44647216796875
248.09423828125,48.35016632080078
1178.93017578125,221.51699829101562
1294.6962890625,199.99612426757812
2405.1337890625,327.37078857421875
2884.829345703125,322.1171875
2455.675537109375,333.25054931640625
1236.86328125,140.47738647460938
2165.13671875,292.5198059082031
1323.4501953125,185.66920471191406
1615.3736572265625,196.73231506347656
1467.8079833984375,243.3436279296875
5390.6611328125,469.0161437988281
2225.44287109375,146.84727478027344
3702.99267578125,327.335693359375
795.4730834960938,97.17214965820312
3676.88525390625,231.06918334960938
3164.0888671875,234.35513305664062
2349.560546875,201.68191528320312
1043.2236328125,133.88320922851562
1249.8984375,110.6731948852539
3133.3056640625,184.18246459960938
1247.911376953125,87.44759368896484
2052.943603515625,123.43878173828125
3061.823974609375,145.4766387939453
8953.31640625,392.2383117675781
1298.64453125,79.0889892578125
6438.3623046875,281.42449951171875
2803.9677734375,137.61965942382812
1239.5609130859375,67.25994873046875
6322.66796875,177.15701293945312
614.493408203125,49.266563415527344
5663.716796875,210.03216552734375
4663.06591796875,130.59445190429688
1343.510009765625,70.59150695800781
2748.037109375,98.01397705078125
3727.68603515625,109.80107116699219
3545.983154296875,94.25942993164062
3310.74072265625,118.61491394042969
7795.3125,198.72683715820312
6932.1181640625,133.68003845214844
5386.861328125,135.25634765625
6023.27099609375,178.18927001953125
3898.7861328125,110.41079711914062
6810.826171875,169.38504028320312
2199.27294921875,79.88182830810547
3433.2431640625,103.50386810302734
6951.66552734375,126.70962524414062
5145.3994140625,124.07936096191406
3640.626953125,115.04055786132812
9724.1669921875,169.74053955078125
6736.7802734375,139.4404296875
6937.5078125,137.3271484375
12121.986328125,174.35528564453125
11354.35546875,181.37994384765625
7874.20654296875,155.90060424804688
3369.7294921875,96.17037963867188
5155.3857421875,120.63845825195312
21149.873046875,230.86715698242188
7810.080078125,141.50482177734375
6443.943359375,133.20455932617188
8796.09375,149.32955932617188
8801.6923828125,151.29788208007812
7757.57666015625,142.91180419921875
2651.399658203125,88.82229614257812
8575.080078125,153.2357177734375
8097.30322265625,147.7668914794922
14517.1884765625,193.10671997070312
22628.25,246.17880249023438
16618.541015625,208.26661682128906
14005.416015625,193.62554931640625
15092.1640625,195.4527587890625
13814.267578125,193.5159912109375
18979.67578125,222.34371948242188
10796.06640625,166.66983032226562
11121.603515625,179.62037658691406
28735.92578125,257.4835205078125
34489.87109375,312.1908264160156
18118.708984375,206.06854248046875
12607.130859375,190.8592529296875
8161.31005859375,153.56478881835938
14361.330078125,195.60867309570312
17715.365234375,193.59674072265625
22775.875,245.86903381347656
7976.43017578125,154.593505859375
13378.763671875,193.05221557617188
29235.99609375,260.3603515625
22699.099609375,236.89801025390625
21290.091796875,238.25344848632812
23310.328125,253.09130859375
