episode,reward,actions
60,-2187,"Counter({6: 90, 0: 65, 4: 11, 5: 11, 1: 9, 2: 8, 3: 6})"
61,-2133,"Counter({6: 85, 0: 61, 5: 14, 2: 14, 1: 10, 4: 8, 3: 8})"
62,-2341,"Counter({6: 85, 0: 57, 5: 18, 1: 13, 4: 12, 2: 9, 3: 6})"
63,-2122,"Counter({6: 79, 0: 66, 5: 21, 3: 11, 4: 10, 2: 7, 1: 6})"
64,-1923,"Counter({6: 87, 0: 71, 1: 13, 4: 10, 2: 7, 3: 6, 5: 6})"
65,-2295,"Counter({6: 91, 0: 59, 5: 14, 1: 11, 3: 10, 4: 8, 2: 7})"
66,-2106,"Counter({6: 89, 0: 66, 3: 13, 4: 11, 5: 8, 2: 7, 1: 6})"
67,-2195,"Counter({6: 89, 0: 69, 4: 14, 5: 12, 3: 7, 1: 6, 2: 3})"
68,-2078,"Counter({6: 91, 0: 68, 5: 11, 3: 10, 1: 8, 4: 6, 2: 6})"
69,-2177,"Counter({6: 85, 0: 61, 5: 16, 1: 11, 3: 10, 2: 9, 4: 8})"
70,-2227,"Counter({6: 92, 0: 67, 4: 12, 5: 11, 2: 7, 3: 7, 1: 4})"
71,-2094,"Counter({6: 82, 0: 62, 5: 15, 2: 15, 1: 9, 4: 9, 3: 8})"
72,-2161,"Counter({6: 97, 0: 67, 1: 9, 3: 9, 4: 8, 5: 6, 2: 4})"
73,-2210,"Counter({6: 89, 0: 66, 4: 13, 5: 12, 2: 9, 1: 6, 3: 5})"
74,-1947,"Counter({6: 85, 0: 65, 1: 13, 3: 11, 2: 11, 5: 8, 4: 7})"
75,-2034,"Counter({6: 82, 0: 68, 5: 14, 4: 11, 1: 10, 2: 8, 3: 7})"
76,-2060,"Counter({6: 96, 0: 70, 3: 9, 5: 8, 1: 7, 2: 6, 4: 4})"
77,-2161,"Counter({6: 95, 0: 69, 5: 11, 1: 9, 4: 7, 2: 5, 3: 4})"
78,-2088,"Counter({6: 93, 0: 70, 4: 12, 2: 11, 3: 6, 5: 5, 1: 3})"
79,-2096,"Counter({6: 95, 0: 70, 5: 10, 3: 8, 2: 7, 4: 5, 1: 5})"
80,-1885,"Counter({6: 89, 0: 73, 2: 9, 3: 8, 1: 8, 4: 7, 5: 6})"
81,-1955,"Counter({6: 87, 0: 69, 1: 10, 3: 9, 2: 9, 5: 9, 4: 7})"
82,-2099,"Counter({6: 89, 0: 63, 1: 12, 5: 11, 3: 10, 2: 9, 4: 6})"
83,-2242,"Counter({6: 86, 0: 62, 5: 14, 4: 13, 1: 10, 3: 8, 2: 7})"
84,-2192,"Counter({6: 88, 0: 66, 5: 13, 4: 12, 1: 8, 3: 7, 2: 6})"
85,-2083,"Counter({6: 87, 0: 67, 4: 11, 5: 10, 3: 10, 1: 8, 2: 7})"
86,-2179,"Counter({6: 89, 0: 67, 4: 13, 5: 11, 1: 8, 3: 6, 2: 6})"
87,-2034,"Counter({6: 94, 0: 74, 4: 11, 2: 6, 1: 6, 5: 5, 3: 4})"
88,-1902,"Counter({6: 88, 0: 70, 1: 14, 3: 8, 4: 8, 2: 7, 5: 5})"
89,-1957,"Counter({6: 89, 0: 71, 3: 11, 4: 10, 1: 7, 2: 7, 5: 5})"
90,-1912,"Counter({6: 90, 0: 78, 1: 11, 5: 9, 4: 8, 3: 3, 2: 1})"
91,-1962,"Counter({6: 86, 0: 70, 3: 10, 4: 9, 5: 9, 2: 8, 1: 8})"
92,-2046,"Counter({6: 96, 0: 72, 5: 11, 1: 9, 2: 5, 3: 5, 4: 2})"
93,-2142,"Counter({6: 94, 0: 68, 5: 10, 3: 9, 4: 7, 1: 7, 2: 5})"
94,-2000,"Counter({6: 88, 0: 72, 3: 10, 4: 10, 5: 9, 1: 7, 2: 4})"
95,-1952,"Counter({6: 87, 0: 72, 1: 11, 4: 11, 3: 7, 5: 7, 2: 5})"
96,-2101,"Counter({6: 91, 0: 73, 5: 16, 4: 6, 1: 5, 2: 5, 3: 4})"
97,-1995,"Counter({6: 93, 0: 73, 3: 9, 4: 8, 2: 6, 5: 6, 1: 5})"
98,-1939,"Counter({6: 86, 0: 69, 3: 12, 2: 9, 5: 8, 4: 8, 1: 8})"
99,-2245,"Counter({6: 94, 0: 63, 4: 11, 2: 9, 5: 8, 3: 8, 1: 7})"
100,-1995,"Counter({6: 87, 0: 69, 5: 11, 1: 9, 3: 9, 2: 8, 4: 7})"
101,-2021,"Counter({6: 89, 0: 71, 4: 11, 1: 9, 2: 9, 5: 8, 3: 3})"
102,-2019,"Counter({6: 94, 0: 71, 5: 9, 2: 8, 1: 7, 3: 7, 4: 4})"
103,-2262,"Counter({6: 95, 0: 66, 5: 11, 4: 10, 1: 7, 2: 6, 3: 5})"
104,-1861,"Counter({6: 85, 0: 71, 2: 13, 1: 9, 4: 8, 3: 7, 5: 7})"
105,-1956,"Counter({6: 88, 0: 70, 2: 14, 5: 10, 1: 7, 4: 6, 3: 5})"
106,-2053,"Counter({6: 90, 0: 65, 1: 14, 5: 11, 3: 9, 2: 7, 4: 4})"
107,-2122,"Counter({6: 99, 0: 68, 1: 10, 2: 8, 5: 7, 3: 4, 4: 4})"
108,-1928,"Counter({6: 95, 0: 78, 5: 8, 3: 6, 1: 5, 2: 4, 4: 4})"
109,-2102,"Counter({6: 96, 0: 68, 2: 9, 3: 7, 1: 7, 5: 7, 4: 6})"
110,-1950,"Counter({6: 90, 0: 74, 4: 11, 1: 8, 3: 6, 2: 6, 5: 5})"
111,-1995,"Counter({6: 93, 0: 73, 3: 9, 5: 8, 2: 6, 4: 6, 1: 5})"
112,-2071,"Counter({6: 93, 0: 73, 4: 10, 5: 8, 3: 7, 1: 5, 2: 4})"
113,-1907,"Counter({6: 99, 0: 79, 3: 8, 4: 6, 1: 5, 2: 2, 5: 1})"
114,-1993,"Counter({6: 95, 0: 73, 2: 11, 5: 7, 3: 6, 4: 5, 1: 3})"
115,-2050,"Counter({6: 97, 0: 72, 5: 10, 2: 7, 1: 6, 3: 6, 4: 2})"
116,-1923,"Counter({6: 96, 0: 71, 2: 11, 1: 9, 3: 7, 4: 5, 5: 1})"
117,-2094,"Counter({6: 89, 0: 68, 5: 12, 3: 10, 4: 8, 2: 8, 1: 5})"
118,-1898,"Counter({6: 94, 0: 76, 3: 9, 1: 7, 4: 6, 2: 4, 5: 4})"
119,-2008,"Counter({6: 93, 0: 72, 3: 9, 5: 8, 4: 6, 1: 6, 2: 6})"
120,-2002,"Counter({6: 98, 0: 74, 2: 10, 4: 6, 3: 4, 5: 4, 1: 4})"
121,-2186,"Counter({6: 98, 0: 70, 3: 10, 4: 9, 5: 7, 1: 3, 2: 3})"
122,-1983,"Counter({6: 92, 0: 75, 4: 9, 3: 7, 5: 7, 1: 5, 2: 5})"
123,-2022,"Counter({6: 93, 0: 72, 2: 9, 4: 9, 3: 6, 5: 6, 1: 5})"
124,-2077,"Counter({6: 90, 0: 69, 5: 11, 1: 9, 4: 8, 3: 7, 2: 6})"
125,-1906,"Counter({6: 96, 0: 78, 2: 7, 4: 7, 1: 5, 3: 4, 5: 3})"
126,-2066,"Counter({6: 97, 0: 78, 4: 9, 5: 8, 3: 3, 2: 3, 1: 2})"
127,-2016,"Counter({6: 99, 0: 74, 3: 10, 5: 6, 1: 6, 4: 3, 2: 2})"
128,-1879,"Counter({6: 94, 0: 77, 1: 7, 2: 6, 3: 6, 5: 6, 4: 4})"
129,-2012,"Counter({6: 99, 0: 72, 1: 10, 2: 6, 5: 6, 3: 5, 4: 2})"
130,-2138,"Counter({6: 99, 0: 76, 5: 10, 4: 7, 3: 4, 2: 3, 1: 1})"
