episode,reward,actions
444,280,Counter({0: 30})
445,280,Counter({0: 30})
446,280,Counter({0: 30})
447,280,Counter({0: 30})
448,232,"Counter({0: 30, 4: 1, 6: 1})"
449,280,Counter({0: 30})
450,280,Counter({0: 30})
451,280,Counter({0: 30})
452,280,Counter({0: 30})
453,255,"Counter({0: 30, 6: 1})"
454,232,"Counter({0: 30, 6: 1, 4: 1})"
455,280,Counter({0: 30})
456,280,Counter({0: 30})
457,280,Counter({0: 30})
458,280,Counter({0: 30})
459,255,"Counter({0: 30, 6: 1})"
460,255,"Counter({0: 30, 6: 1})"
461,227,"Counter({0: 30, 6: 2, 2: 1})"
462,255,"Counter({0: 30, 6: 1})"
463,280,Counter({0: 30})
464,280,Counter({0: 30})
465,257,"Counter({0: 30, 4: 1})"
466,280,Counter({0: 30})
467,280,Counter({0: 30})
468,280,Counter({0: 30})
469,254,"Counter({0: 30, 1: 1, 4: 1})"
470,280,Counter({0: 30})
471,274,"Counter({0: 30, 2: 1, 1: 1})"
472,230,"Counter({0: 30, 6: 2})"
473,280,Counter({0: 30})
474,232,"Counter({0: 30, 6: 1, 4: 1})"
475,277,"Counter({0: 30, 1: 1})"
476,280,Counter({0: 30})
477,280,Counter({0: 30})
478,280,Counter({0: 30})
479,280,Counter({0: 30})
480,280,Counter({0: 30})
481,280,Counter({0: 30})
482,280,Counter({0: 30})
483,280,Counter({0: 30})
484,280,Counter({0: 30})
485,277,"Counter({0: 30, 2: 1})"
486,280,Counter({0: 30})
487,257,"Counter({0: 30, 4: 1})"
488,280,Counter({0: 30})
489,280,Counter({0: 30})
490,280,Counter({0: 30})
491,280,Counter({0: 30})
492,280,Counter({0: 30})
493,280,Counter({0: 30})
494,280,Counter({0: 30})
495,280,Counter({0: 30})
496,280,Counter({0: 30})
497,280,Counter({0: 30})
498,230,"Counter({0: 30, 6: 2})"
499,280,Counter({0: 30})
500,255,"Counter({0: 30, 6: 1})"
