critic,actor
134.72808837890625,-0.29799771308898926
144.76632690429688,-0.29326701164245605
143.5121612548828,-0.2933303117752075
140.22128295898438,-0.30756935477256775
169.13807678222656,-0.31377995014190674
145.26376342773438,-0.30778199434280396
129.79415893554688,-0.3061242997646332
144.55868530273438,-0.29763925075531006
144.1610870361328,-0.2992006242275238
136.4317626953125,-0.2920330762863159
149.823974609375,-0.2988537549972534
135.68353271484375,-0.29549869894981384
143.57264709472656,-0.2851708233356476
134.01312255859375,-0.29549741744995117
132.4774169921875,-0.2691199779510498
141.00308227539062,-0.2938147187232971
127.43888854980469,-0.28931012749671936
149.13467407226562,-0.2752666473388672
141.85350036621094,-0.2897229790687561
136.9221954345703,-0.28898581862449646
152.30819702148438,-0.2713369131088257
139.31704711914062,-0.28394222259521484
143.03973388671875,-0.28091028332710266
131.31072998046875,-0.2709391117095947
148.4637451171875,-0.26426610350608826
138.83360290527344,-0.2693144679069519
155.44577026367188,-0.2736656963825226
139.27169799804688,-0.26438939571380615
144.43438720703125,-0.271697998046875
141.08612060546875,-0.28185224533081055
153.93017578125,-0.2623363137245178
169.79815673828125,-0.26369667053222656
134.5243682861328,-0.23369605839252472
137.95089721679688,-0.25956130027770996
139.02740478515625,-0.2639329135417938
132.1798858642578,-0.261873722076416
154.2179718017578,-0.254513680934906
150.0511474609375,-0.25667470693588257
142.70413208007812,-0.25293445587158203
133.79800415039062,-0.26069557666778564
132.033203125,-0.2411118447780609
145.24346923828125,-0.24528421461582184
137.64724731445312,-0.26105260848999023
136.96054077148438,-0.24115857481956482
140.92947387695312,-0.24174652993679047
132.8340606689453,-0.24748583137989044
136.7684326171875,-0.24081385135650635
140.01907348632812,-0.23670272529125214
139.32064819335938,-0.2392231822013855
133.48294067382812,-0.22758296132087708
137.248046875,-0.22964268922805786
126.0885238647461,-0.2401968240737915
135.8604736328125,-0.22994324564933777
138.7112274169922,-0.23057812452316284
146.54946899414062,-0.2278117835521698
135.1820526123047,-0.23410016298294067
136.5465545654297,-0.23237955570220947
136.6893310546875,-0.23042795062065125
159.7671356201172,-0.23625284433364868
138.3282012939453,-0.24022145569324493
133.11683654785156,-0.23511752486228943
147.57012939453125,-0.2128658890724182
139.06747436523438,-0.22032859921455383
141.05007934570312,-0.2209671139717102
136.12548828125,-0.22006450593471527
135.370361328125,-0.21816815435886383
132.0106658935547,-0.21446670591831207
129.58175659179688,-0.19987207651138306
137.18948364257812,-0.21892596781253815
152.08872985839844,-0.211748868227005
143.5866241455078,-0.20993992686271667
131.99868774414062,-0.2086164802312851
127.89557647705078,-0.18850477039813995
130.08355712890625,-0.19304011762142181
137.79345703125,-0.20594879984855652
125.2968978881836,-0.20644207298755646
148.1507568359375,-0.19577015936374664
139.97482299804688,-0.17533694207668304
149.1179962158203,-0.1792033165693283
142.326171875,-0.18319229781627655
142.50064086914062,-0.20259001851081848
157.19923400878906,-0.18443338572978973
157.34349060058594,-0.1890708953142166
149.50106811523438,-0.17918865382671356
146.07215881347656,-0.17579396069049835
161.33645629882812,-0.17918358743190765
167.33123779296875,-0.16966596245765686
151.8539276123047,-0.18960291147232056
150.7035675048828,-0.1651010811328888
157.7753448486328,-0.18379923701286316
145.1361541748047,-0.14973042905330658
156.25621032714844,-0.1752781718969345
154.59323120117188,-0.17287024855613708
151.82171630859375,-0.16382278501987457
134.73385620117188,-0.15307879447937012
173.11068725585938,-0.16311028599739075
180.99647521972656,-0.16629183292388916
164.2895965576172,-0.15373434126377106
173.3467559814453,-0.15940921008586884
169.45257568359375,-0.16084732115268707
158.40988159179688,-0.14700396358966827
132.92947387695312,-0.14611251652240753
164.8701171875,-0.11435028165578842
157.76632690429688,-0.164587140083313
144.60240173339844,-0.1340392529964447
161.43634033203125,-0.1523318886756897
151.6414337158203,-0.12523536384105682
152.2378387451172,-0.13306273519992828
160.9996337890625,-0.11386130750179291
145.89292907714844,-0.14869728684425354
136.4825439453125,-0.10072363913059235
139.3043212890625,-0.13397565484046936
159.56834411621094,-0.11912760883569717
163.37200927734375,-0.10519494116306305
155.1502227783203,-0.11722002923488617
157.87216186523438,-0.08938375115394592
134.7122344970703,-0.09294134378433228
141.0288848876953,-0.10765262693166733
132.5577850341797,-0.11106935888528824
152.00498962402344,-0.09840129315853119
153.78118896484375,-0.08051438629627228
167.2720489501953,-0.10167030245065689
152.80340576171875,-0.09708671271800995
165.26480102539062,-0.11862065643072128
165.47032165527344,-0.08347471803426743
130.8094024658203,-0.13080477714538574
160.74026489257812,-0.08546551316976547
146.55564880371094,-0.09716013818979263
140.8898468017578,-0.09555866569280624
167.57809448242188,-0.06718266755342484
158.7355194091797,-0.07064472883939743
170.95863342285156,-0.08912200480699539
166.03260803222656,-0.06250414252281189
164.55178833007812,-0.09376981854438782
174.65518188476562,-0.060020603239536285
164.03836059570312,-0.04341443255543709
166.79730224609375,-0.06970740854740143
134.73306274414062,-0.0420973114669323
160.75811767578125,-0.06274757534265518
160.16317749023438,-0.05653547868132591
140.6414794921875,-0.05633134767413139
153.80722045898438,-0.054306767880916595
168.5039520263672,-0.057135388255119324
161.84793090820312,-0.050975486636161804
152.09503173828125,-0.061784736812114716
152.18896484375,-0.034949250519275665
131.77743530273438,-0.004178585018962622
144.541748046875,-0.03327642381191254
124.56613159179688,-0.026133714243769646
115.43692016601562,-0.011294182389974594
158.33987426757812,0.00033011173945851624
